1,36,1.6,0.2,1.2,0.2,1,0
3,33,4.9,1.9,1.7,1.3,1,0
1,20,2.8,0.5,0.7,1.5,1,0
3,0,1.1,0.1,0.1,1.0,1,0
3,0,2.4,0.9,0.4,1.1,1,0
1,6,3.1,0.5,1.8,1.1,1,0
4,0,4.4,1.5,1.5,1.3,1,0
4,8,4.4,1.7,1.8,0.9,1,0
2,3,5.9,1.5,1.4,0.6,1,0
5,7,3.8,1.9,1.1,0.8,1,0
2,6,4.6,1.8,1.1,1.7,1,0
5,17,3.7,1.3,1.0,1.5,1,0
3,34,2.9,0.5,1.4,1.0,1,0
5,0,4.9,1.5,1.8,1.6,1,0
0,18,5.5,1.8,1.5,0.9,0,1
2,12,4.7,0.8,1.9,2.0,1,0
4,0,4.3,1.4,1.0,1.9,1,0
3,20,5.0,1.5,1.5,1.7,1,0
1,7,2.6,1.2,1.0,0.5,1,0
1,27,3.9,0.6,1.7,1.6,1,0
2,0,1.6,0.1,1.0,0.5,1,0
5,18,4.1,1.7,1.1,1.3,1,0
3,39,1.3,0.2,0.8,0.2,1,0
3,0,1.4,0.2,0.1,1.1,1,0
0,20,2.2,1.0,0.6,0.6,1,0
5,25,2.3,0.6,1.5,0.2,1,0
4,15,3.5,0.8,1.5,1.2,1,0
4,2,3.8,1.4,0.9,1.6,1,0
5,0,0.4,1.9,1.6,0.8,1,0
0,0,3.3,0.8,1.6,0.2,0,1
3,0,2.1,0.4,0.6,1.1,1,0
0,9,1.2,0.1,0.8,0.3,1,0
3,0,5.3,1.9,1.9,1.4,1,0
5,0,1.5,1.0,0.2,0.2,1,0
1,19,4.2,1.3,1.7,1.2,1,0
4,0,3.4,0.2,1.9,1.3,1,0
4,0,4.6,1.9,1.2,1.4,1,0
5,14,3.5,1.1,1.6,0.8,1,0
2,6,4.4,1.4,1.1,1.8,1,0
0,1,0.7,0.1,0.4,0.2,1,0
2,9,3.2,0.2,0.6,1.3,1,0
3,12,2.5,2.0,0.5,0.0,1,0
3,16,3.0,1.6,0.5,0.9,1,0
1,0,2.2,0.7,0.1,1.4,1,0
2,23,1.8,1.2,0.5,0.1,1,0
5,0,9.7,1.8,1.8,0.6,0,1
3,0,3.2,0.6,0.9,1.7,1,0
1,9,1.6,0.8,0.7,0.1,1,0
4,35,3.9,1.3,1.3,1.4,1,0
0,14,0.8,0.1,0.2,0.5,1,0
0,29,3.2,0.5,1.3,1.4,1,0
4,0,9.3,0.9,1.0,2.0,0,1
1,14,5.8,0.8,0.7,0.8,1,0
1,6,3.3,1.7,0.9,0.7,1,0
1,38,2.9,1.2,0.8,0.8,1,0
5,26,3.2,1.4,1.5,0.3,1,0
3,32,3.5,1.4,1.9,0.2,1,0
4,16,2.7,0.6,1.2,0.9,1,0
0,29,1.0,0.4,0.3,0.3,1,0
2,28,3.9,1.5,0.5,1.9,1,0
1,25,2.1,0.4,1.3,0.4,1,0
5,12,2.8,1.7,1.5,1.7,1,0
1,30,3.3,1.8,1.4,0.1,1,0
3,2,2.3,0.9,0.3,1.1,1,0
3,30,3.7,0.4,1.5,1.8,1,0
1,0,3.8,1.7,2.0,0.1,1,0
3,30,2.2,0.2,1.0,1.1,1,0
1,14,0.1,1.2,1.9,0.8,1,0
0,0,4.8,1.3,1.6,1.8,0,1
3,0,3.9,0.3,2.0,1.7,1,0
0,9,3.3,1.0,1.4,1.0,1,0
3,0,2.9,0.5,1.5,0.9,1,0
5,0,2.4,0.4,0.2,1.8,1,0
3,3,2.1,1.0,0.3,0.8,1,0
0,31,0.8,0.3,0.6,0.0,1,0
5,0,7.6,0.7,1.6,1.7,0,1
5,0,3.2,0.8,1.9,0.6,1,0
0,10,1.8,1.2,0.3,0.3,1,0
0,3,2.8,0.7,0.6,1.5,1,0
4,25,2.1,0.9,0.5,0.6,1,0
0,40,1.7,1.4,0.0,0.3,1,0
3,16,3.3,0.2,1.6,1.5,1,0
3,16,2.5,0.4,1.2,0.9,1,0
2,6,4.3,2.0,0.4,2.0,1,0
3,0,4.0,1.8,1.5,0.8,1,0
2,14,2.0,1.3,0.6,0.4,1,0
1,0,0.7,0.1,0.1,0.5,1,0
5,0,3.5,1.1,0.8,1.7,1,0
0,37,2.7,0.7,1.2,0.8,1,0
0,0,3.4,1.4,0.6,1.5,0,1
4,0,2.2,1.0,0.4,0.8,1,0
1,0,4.6,1.8,1.1,0.4,0,1
3,0,4.7,1.8,1.9,1.0,1,0
4,0,3.2,0.1,1.2,1.9,1,0
0,0,9.7,0.0,1.2,0.9,0,1
5,0,3.2,1.6,0.2,1.4,1,0
1,0,4.4,1.8,1.9,0.7,1,0
2,0,1.7,1.4,0.0,0.2,1,0
2,37,3.6,1.3,2.0,0.3,1,0
2,0,1.4,0.4,0.4,0.5,1,0
1,0,2.9,1.3,0.9,0.3,0,1
3,19,4.6,1.2,1.5,2.0,1,0
1,14,1.6,0.1,1.0,0.5,1,0
0,0,3.0,1.3,1.6,0.0,0,1
4,0,2.9,1.8,0.4,0.7,1,0
0,0,4.1,1.3,1.2,1.6,0,1
1,4,1.7,0.1,0.9,0.8,1,0
5,2,2.4,0.8,1.5,0.1,1,0
0,0,2.1,0.7,1.3,0.1,0,1
5,0,4.3,1.7,0.6,1.9,1,0
3,35,0.4,1.5,1.5,1.2,1,0
0,0,3.6,1.3,0.7,1.6,0,1
3,36,3.6,1.3,0.3,1.9,1,0
0,14,4.1,1.9,0.8,1.4,1,0
3,31,3.2,1.1,1.4,0.6,1,0
3,3,1.7,0.4,0.4,0.9,1,0
4,8,4.7,2.0,1.8,1.0,1,0
4,31,4.0,1.5,1.7,0.8,1,0
5,0,1.1,1.0,0.1,1.9,1,0
2,9,3.8,1.7,0.0,0.1,1,0
4,9,2.0,0.9,0.7,0.4,1,0
0,6,3.2,0.8,1.1,1.3,1,0
4,0,3.5,0.5,1.1,1.9,1,0
4,8,2.0,1.5,0.3,0.2,1,0
0,35,1.9,0.1,1.8,0.1,1,0
5,0,2.1,0.0,0.7,1.4,1,0
0,29,2.6,1.8,0.5,0.3,1,0
1,0,2.6,1.8,0.5,0.2,1,0
5,0,3.3,1.9,0.1,1.3,1,0
2,11,2.3,1.4,0.5,0.3,1,0
3,23,3.1,1.2,1.6,0.3,1,0
5,1,4.1,1.5,1.1,1.5,1,0
0,8,7.3,0.3,0.5,1.4,0,1
5,0,2.8,0.1,1.2,1.6,1,0
3,2,5.5,0.0,1.8,1.4,1,0
0,0,2.7,0.0,1.1,1.6,0,1
